From_Year,For_Years,Space,Country,p_up,p_same,p_down
2021,2022 - 2023,Associational,Afghanistan,0.329,0.504,0.25
2021,2022 - 2023,Associational,Albania,0.105,0.74,0.173
2021,2022 - 2023,Associational,Algeria,0.224,0.554,0.286
2021,2022 - 2023,Associational,Angola,0.328,0.607,0.097
2021,2022 - 2023,Associational,Argentina,0.035,0.842,0.126
2021,2022 - 2023,Associational,Armenia,0.123,0.761,0.132
2021,2022 - 2023,Associational,Australia,0.023,0.768,0.214
2021,2022 - 2023,Associational,Austria,0.266,0.512,0.303
2021,2022 - 2023,Associational,Azerbaijan,0.279,0.636,0.118
2021,2022 - 2023,Associational,Bangladesh,0.585,0.331,0.203
2021,2022 - 2023,Associational,Barbados,0.023,0.966,0.011
2021,2022 - 2023,Associational,Belarus,0.324,0.676,0
2021,2022 - 2023,Associational,Belgium,0.011,0.965,0.025
2021,2022 - 2023,Associational,Benin,0.33,0.355,0.47
2021,2022 - 2023,Associational,Bhutan,0.161,0.515,0.386
2021,2022 - 2023,Associational,Bolivia,0.266,0.415,0.435
2021,2022 - 2023,Associational,Bosnia-Herzegovina,0.081,0.839,0.086
2021,2022 - 2023,Associational,Botswana,0.3,0.646,0.077
2021,2022 - 2023,Associational,Brazil,0.176,0.585,0.29
2021,2022 - 2023,Associational,Bulgaria,0.093,0.731,0.194
2021,2022 - 2023,Associational,Burkina Faso,0.052,0.822,0.133
2021,2022 - 2023,Associational,Burundi,0.288,0.666,0.064
2021,2022 - 2023,Associational,Cambodia,0.174,0.523,0.367
2021,2022 - 2023,Associational,Cameroon,0.356,0.535,0.17
2021,2022 - 2023,Associational,Canada,0.146,0.784,0.082
2021,2022 - 2023,Associational,Cape Verde,0.033,0.903,0.066
2021,2022 - 2023,Associational,CAR,0.422,0.426,0.264
2021,2022 - 2023,Associational,Chad,0.07,0.889,0.044
2021,2022 - 2023,Associational,Chile,0.188,0.68,0.162
2021,2022 - 2023,Associational,China,0.057,0.916,0.028
2021,2022 - 2023,Associational,Colombia,0.383,0.264,0.572
2021,2022 - 2023,Associational,Comoros,0.191,0.69,0.147
2021,2022 - 2023,Associational,Congo,0.401,0.504,0.158
2021,2022 - 2023,Associational,Costa Rica,0,0.962,0.038
2021,2022 - 2023,Associational,Cote D'Ivoire,0.197,0.593,0.261
2021,2022 - 2023,Associational,Croatia,0.103,0.79,0.12
2021,2022 - 2023,Associational,Cuba,0.11,0.89,0
2021,2022 - 2023,Associational,Cyprus,0.024,0.909,0.07
2021,2022 - 2023,Associational,Czech Republic,0.058,0.823,0.126
2021,2022 - 2023,Associational,Denmark,0,0.909,0.09
2021,2022 - 2023,Associational,Djibouti,0.129,0.806,0.074
2021,2022 - 2023,Associational,Dominican Republic,0.066,0.757,0.189
2021,2022 - 2023,Associational,DR Congo,0.241,0.613,0.193
2021,2022 - 2023,Associational,East Timor,0.038,0.869,0.096
2021,2022 - 2023,Associational,Ecuador,0.242,0.462,0.391
2021,2022 - 2023,Associational,Egypt,0.128,0.853,0.021
2021,2022 - 2023,Associational,El Salvador,0.372,0.364,0.42
2021,2022 - 2023,Associational,Equatorial Guinea,0.09,0.88,0.034
2021,2022 - 2023,Associational,Eritrea,0.073,0.921,0.006
2021,2022 - 2023,Associational,Estonia,0,0.987,0.013
2021,2022 - 2023,Associational,Ethiopia,0.391,0.465,0.236
2021,2022 - 2023,Associational,Fiji,0.248,0.567,0.247
2021,2022 - 2023,Associational,Finland,0.024,0.942,0.034
2021,2022 - 2023,Associational,France,0.244,0.308,0.593
2021,2022 - 2023,Associational,Gabon,0.168,0.604,0.274
2021,2022 - 2023,Associational,Gambia,0.08,0.861,0.064
2021,2022 - 2023,Associational,Georgia,0.115,0.778,0.121
2021,2022 - 2023,Associational,Germany,0.016,0.946,0.039
2021,2022 - 2023,Associational,Ghana,0,0.922,0.078
2021,2022 - 2023,Associational,Greece,0.048,0.892,0.063
2021,2022 - 2023,Associational,Guatemala,0.26,0.441,0.405
2021,2022 - 2023,Associational,Guinea,0.274,0.511,0.296
2021,2022 - 2023,Associational,Guinea-Bissau,0.153,0.782,0.077
2021,2022 - 2023,Associational,Guyana,0.096,0.801,0.114
2021,2022 - 2023,Associational,Haiti,0.279,0.618,0.143
2021,2022 - 2023,Associational,Honduras,0.09,0.809,0.112
2021,2022 - 2023,Associational,Hungary,0.247,0.609,0.191
2021,2022 - 2023,Associational,Iceland,0,0.921,0.079
2021,2022 - 2023,Associational,India,0.255,0.411,0.449
2021,2022 - 2023,Associational,Indonesia,0.18,0.648,0.209
2021,2022 - 2023,Associational,Iran,0.276,0.672,0.072
2021,2022 - 2023,Associational,Iraq,0.392,0.411,0.324
2021,2022 - 2023,Associational,Ireland,0.013,0.964,0.024
2021,2022 - 2023,Associational,Israel,0.226,0.702,0.093
2021,2022 - 2023,Associational,Italy,0.032,0.906,0.065
2021,2022 - 2023,Associational,Jamaica,0,0.979,0.021
2021,2022 - 2023,Associational,Japan,0,0.926,0.074
2021,2022 - 2023,Associational,Jordan,0.136,0.807,0.066
